"order detail link (for admin) / order view link (for customer)","đường dẫn xem chi tiết đơn hàng mới(cho quản trị viên) / đường dẫn xem đơn hàng(cho khách hàng)",
General information,Thông tin chung,
Page not found,Không tìm thấy trang,
Meta title,Thẻ tiêu đề,
Meta description,Thẻ mô tả,
Meta Description,Thẻ mô tả,
Meta keywords,Thẻ từ khóa,
Meta Keywords,Thẻ từ khóa,
Apply page to post,Áp dụng trang cho bài viết,
Belongs to category,Thuộc danh mục,
Page cannot be deleted,Trang không thể xóa,
Page components,Các thành phần của trang,
Are you sure you want to delete the page,Bạn chắc chắn muốn xóa trang,
Delete page,Xóa trang,
View page,Xem trang,
Header not found,Không tìm thấy đầu trang,
Footer not found,Không tìm thấy chân trang,
Button information,Thông tin các nút,
First button,Nút thứ nhất,
Second button,Nút thứ hai,
Third button,Nút thứ ba,
Fourth button,Nút thứ tư,
Button sublabel,Nhãn phụ nút,
Current page,Trang hiện tại,
New page,Trang mới,
Form not found,Không tìm thấy biểu mẫu,
"Only images with PNG, JPG, JPEG, SVG extensions are allowed.","Chỉ cho phép hình ảnh có đuôi PNG, JPG, JPEG, SVG.",
View sample image,Xem ảnh mẫu,
Are you sure you want to delete the menu,Bạn chắc chắn muốn xóa menu,
Category,Danh mục,
Tags,Thẻ,
Delete post,Xóa bài viết,
Basic information,Thông tin cơ bản,
Are you sure you want to delete the post,Bạn chắc chắn muốn xóa bài viết,
Post title,Tên bài viết,
Display post,Hiển thị bài viết,
Select category,Chọn danh mục,
Select tag,Chọn thẻ,
Post introduction,Giới thiệu bài viết,
Publish date (automatically generated by default),Ngày đăng (mặc định sẽ tự tạo khi hiển thị),
Slug (automatically generated by default),Đường dẫn (mặc định sẽ tự tạo),
Post content,Nội dung bài viết,
Untitled,Chưa có tiêu đề,
Publish on,Ngày đăng,
A featured post must have a cover image,Bài viết nổi bật phải có ảnh bìa,
No templates available for creating a new page.,Chưa có mẫu nào để thực hiện cho việc thêm mới trang.,
Page information,Thông tin trang,
Create page,Tạo trang,
"Creating page...","Đang tạo trang...",
Tag name,Tên thẻ,
Tag name must not contain special characters:,Tên thẻ không được phép chứa các ký tự đặc biệt:,
Category name must not contain special characters:,Tên thẻ không được phép chứa các ký tự đặc biệt:,
Are you sure you want to delete the tag,Bạn chắc chắn muốn xóa tag,
Delete tag,Xóa thẻ,
Menu not found,Không tìm thấy menu,
Tag not found,Không tìm thấy thẻ,
Tag name already exists,Tên thẻ đã tồn tại,
already exists,đã tồn tại,
"This tag is linked and cannot be deleted.","Thẻ này đã được liên kết, không thể xóa.",
"This category is linked and cannot be deleted.","Danh mục này đã được liên kết, không thể xóa.",
"This menu is linked and cannot be deleted.","Menu này đã được liên kết, không thể xóa.",
Category name,Tên danh mục,
No tags available,Chưa có tag nào,
No categories available,Chưa có danh mục nào,
Category name already exists,Tên danh mục đã tồn tại,
Category not found,Không tìm thấy danh mục,
Delete category,Xóa danh mục,
Are you sure you want to delete the category,Bạn chắc chắn muốn xóa danh mục,
No menus available,Chưa có menu nào,
No posts available,Chưa có bài viết nào,
No contacts available,Chưa có liên hệ nào,
Last name,Họ,
First name,Tên,
Full name,Tên đầy đủ,
Phone number,Số điện thoại,
Delete contact,Xóa liên hệ,
Are you sure you want to delete the contact,Bạn chắc chắn muốn xóa liên hệ,
No form available yet,Chưa có biểu mẫu nào,
Contact not found,Không tìm thấy liên hệ,
Cannot convert,Không thể chuyển đổi,
The website is set to edit mode,Trang web đã đặt là chỉnh sửa,
The website is set as the main website,Trang web đã đặt là website chính,
Are you sure you want to deactivate the website named,Bạn chắc chắn muốn dừng kích hoạt trang web có tên,
Are you sure you want to activate the website named,Bạn chắc chắn muốn kích hoạt trang web có tên,
Updating...,Đang cập nhật...,
"Are you sure you want to set the website named <b>{0}</b> as the primary active website?","Bạn chắc chắn muốn đặt website có tên <b>{0}</b> là website hoạt động chính?",
Set as main website,Đặt trang web chính,
Set as editing website,Đặt trang web chỉnh sửa,
Post not found,Không tìm thấy bài viết,
Copyright content,Nội dung bản quyền,
First column,Cột thứ nhất,
Second column,Cột thứ hai,
Design,Thiết kế,
Background image,Ảnh nền,
Enter search term,Nhập từ tìm kiếm,
"Each search term is separated by a `;`","Mỗi từ tiềm kiếm cách nhau bởi dấu `;`.",
Show,Hiện,
Template page does not exist,Trang mẫu không tồn tại,
Page cannot be deleted,Trang không thể xóa,
Web Theme not found,Không tìm thấy chủ đề web,
Menu list,Danh sách menu,
Sessions,Phiên truy cập,
Total users,Tổng số người dùng,
Total sessions,Tổng số phiên truy cập,
Average view time (s),Thời gian xem trung bình (s),
Current active users,Số người truy cập hiện tại,
Users in the last 30 minutes,Số người truy cập 30 phút qua,
Most viewed pages,Những trang được xem nhiều nhất,
No report data available,Chưa có dữ liệu báo cáo,
Form submissions,Số lượt điền biểu mẫu,
Number of views,Số lượt xem,
Save as Image,Tải ảnh xuống,
Website not found,Không tìm thấy trang web,
Interface not found,Không tìm thấy giao diện,
Interface not installed,Giao diện chưa được cài đặt,
Interface already in use,Giao diện đã sử dụng từ trước,
The website has already been deactivated,Trang web đã được dừng kích hoạt trước đó,
The website has already been activated,Trang web đã được kích hoạt trước đó,
No comparison,Không so sánh,
Compare with previous period,So sánh với kỳ trước,
Please select a date range,Vui lòng chọn khoảng thời gian,
Last 7 days,7 ngày qua,
Last 30 days,30 ngày qua,
Last week,Tuần trước,
This week,Tuần này,
Last month,Tháng trước,
This month,Tháng này,
Compared to,So với,
Form action,Gửi tới,
Is Template,Là mẫu,
Custom Name,Tên tùy chỉnh,
Template name,Tên mẫu,
Image preview,Ảnh bìa,
Installed,Đã cài đặt,
Link download,Đường dẫn tải,
Pages,Các trang,
Template type,Loại mẫu,
"Incorrect email or password.","Email hoặc mật khẩu không chính xác.",
No results found,Không tìm thấy kết quả nào,
